,beanie_pval,direction,robust,excluded_BRCA_26,excluded_BRCA_44,excluded_BRCA_41,excluded_BRCA_39,excluded_BRCA_28,excluded_BRCA_11,excluded_BRCA_12,excluded_BRCA_40,excluded_BRCA_21,excluded_BRCA_17,excluded_BRCA_36,excluded_BRCA_1,excluded_BRCA_42,excluded_BRCA_15,excluded_BRCA_0,excluded_BRCA_50,excluded_BRCA_30,excluded_BRCA_5,excluded_BRCA_16,excluded_BRCA_27,excluded_BRCA_31,excluded_BRCA_34,excluded_BRCA_29,excluded_BRCA_46,excluded_BRCA_45
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.99998,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.03483,TNBC,False,0.2575757575757576,0.9242424242424242,1.3484848484848484,1.2575757575757571,0.9696969696969696,0.8484848484848485,0.6666666666666666,1.2575757575757571,1.0757575757575757,1.2575757575757571,0.9393939393939392,1.0757575757575757,1.0151515151515151,0.8484848484848485,1.3333333333333333,1.0303030303030305,1.2878787878787878,0.5909090909090909,0.43939393939393934,0.8636363636363635,1.2878787878787878,0.6818181818181818,0.9545454545454544,1.4696969696969695,1.0303030303030305
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.00054,TNBC,True,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98,1.0,1.0,0.98,1.0,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.3843,TNBC,False,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.5,0.0,0.5,1.5,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.5
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.0146,TNBC,False,0.3978494623655914,1.032258064516129,1.043010752688172,0.9032258064516128,0.8494623655913979,0.6021505376344086,0.8279569892473118,0.9032258064516128,0.956989247311828,1.075268817204301,1.0,1.053763440860215,0.9032258064516128,0.5483870967741935,1.053763440860215,0.7096774193548387,0.989247311827957,0.6236559139784945,0.7204301075268817,0.8709677419354839,0.9032258064516128,0.6774193548387096,0.8817204301075268,0.9677419354838708,0.9677419354838708
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.053489999999999996,TNBC,False,0.0,0.3333333333333333,2.6666666666666665,1.805555555555556,0.08333333333333333,0.1388888888888889,1.0833333333333337,2.6944444444444446,1.2777777777777781,1.6388888888888888,2.2777777777777777,0.7500000000000001,1.7222222222222223,0.5833333333333334,2.7222222222222223,1.6111111111111112,1.805555555555556,0.7500000000000001,0.16666666666666666,1.25,2.7222222222222223,1.3888888888888888,0.9722222222222222,1.9444444444444444,0.6388888888888891
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.00162,TNBC,False,0.51,0.96,1.0,1.0,0.91,0.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.85,0.99,1.0,1.0,0.99,1.0,1.0
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.36341999999999997,TNBC,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.09323,TNBC,False,0.5217391304347826,1.826086956521739,1.5217391304347825,0.13043478260869565,0.9130434782608696,2.043478260869565,0.7391304347826088,1.2608695652173911,0.9130434782608696,1.0,1.7826086956521738,1.2608695652173911,1.7391304347826086,0.13043478260869565,1.2173913043478262,1.3043478260869563,1.0869565217391304,0.043478260869565216,1.1304347826086956,2.6086956521739126,2.217391304347826,0.5217391304347826,1.826086956521739,0.5217391304347826,0.13043478260869565
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.19742,TNBC,False,0.0,3.8333333333333335,0.8333333333333334,1.1666666666666667,1.1666666666666667,0.33333333333333337,0.0,1.0,2.166666666666667,2.166666666666667,0.16666666666666669,1.8333333333333333,1.0,0.0,3.166666666666667,1.1666666666666667,1.5,0.16666666666666669,0.0,0.16666666666666669,0.8333333333333334,0.33333333333333337,1.1666666666666667,4.333333333333334,2.5
REACTOME_INTERFERON_GAMMA_SIGNALING,0.00016,TNBC,False,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
