,beanie_pval,direction,robust,excluded_BRCA_41,excluded_BRCA_12,excluded_BRCA_40,excluded_BRCA_21,excluded_BRCA_17,excluded_BRCA_36,excluded_BRCA_1,excluded_BRCA_42,excluded_BRCA_15,excluded_BRCA_50,excluded_BRCA_51,excluded_BRCA_5,excluded_BRCA_27,excluded_BRCA_31,excluded_BRCA_34,excluded_BRCA_29,excluded_BRCA_45
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.9999100000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.37864000000000003,TNBC,False,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.64185,ER+,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.84688,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.5451699999999999,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.6613399999999999,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6658,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.17146,ER+,False,0.0,13.0,0.0,0.0,1.0,0.0,3.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,34.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.12531,ER+,False,0.125,0.6666666666666667,0.4583333333333334,4.166666666666667,0.0,0.16666666666666669,0.25,0.33333333333333337,3.333333333333333,1.8333333333333333,0.2916666666666667,1.7083333333333333,0.33333333333333337,0.04166666666666667,1.3333333333333337,0.125,0.375
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.9698700000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_INTERFERON_GAMMA_SIGNALING,0.62139,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_INTERFERON_SIGNALING,0.62644,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.9999100000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.2904,TNBC,False,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY,0.9999399999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_II_INTERFERON_SIGNALING,0.46651000000000004,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_III_INTERFERON_SIGNALING,0.8467600000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BROWNE_INTERFERON_RESPONSIVE_GENES,0.9828399999999999,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZHANG_INTERFERON_RESPONSE,0.14203,ER+,False,0.0,1.4285714285714286,0.0,2.0,0.14285714285714285,0.0,2.2857142857142856,0.4285714285714285,2.0,1.857142857142857,0.0,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,2.5714285714285707,2.5714285714285707
REACTOME_CYTOPROTECTION_BY_HMOX1,0.8109,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,0.27814,TNBC,False,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,5.0
PAM50,0.18445999999999999,ER+,False,3.75,0.75,2.25,2.5,0.75,0.0,0.25,1.5,4.75,3.0,2.25,2.25,0.0,1.25,4.0,0.25,0.0
WU_ET_AL_BASAL_SC,0.39821999999999996,TNBC,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
