,beanie_pval,direction,robust,excluded_BRCA_39,excluded_BRCA_28,excluded_BRCA_11,excluded_BRCA_12,excluded_BRCA_21,excluded_BRCA_17,excluded_BRCA_36,excluded_BRCA_1,excluded_BRCA_15,excluded_BRCA_0,excluded_BRCA_50,excluded_BRCA_30,excluded_BRCA_16
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.9999399999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.17544,TNBC,False,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.36184,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.05083,TNBC,False,1.1686746987951808,0.26506024096385544,0.3975903614457832,1.2048192771084338,0.2530120481927711,0.927710843373494,0.9879518072289156,0.04819277108433735,0.0,1.2048192771084338,0.0,1.1325301204819278,0.13253012048192772
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.19738,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.96724,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.7065,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.41633000000000003,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.38752,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.19016,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
REACTOME_INTERFERON_GAMMA_SIGNALING,0.27376999999999996,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
REACTOME_INTERFERON_SIGNALING,0.17836,TNBC,False,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,90.0,0.0,0.0,0.0
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.9999399999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.14525,TNBC,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY,0.99992,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_II_INTERFERON_SIGNALING,0.08408,TNBC,False,4.833333333333333,0.0,0.0,0.0,0.0,1.75,8.333333333333334,0.08333333333333334,0.0,7.25,1.0833333333333337,7.25,0.0
