,beanie_pval,direction,robust,excluded_BRCA_4,excluded_BRCA_24,excluded_BRCA_10,excluded_BRCA_8,excluded_BRCA_47,excluded_BRCA_22,excluded_BRCA_49,excluded_BRCA_13,excluded_BRCA_18,excluded_BRCA_35,excluded_BRCA_37,excluded_BRCA_23,excluded_BRCA_2,excluded_BRCA_33,excluded_BRCA_20,excluded_BRCA_48,excluded_BRCA_3,excluded_BRCA_25,excluded_BRCA_7
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.99998,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,4e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.0004,TNBC,True,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,2.9999999999999997e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.00707,TNBC,False,0.11111111111111112,1.0101010101010102,1.0101010101010102,1.0101010101010102,1.0101010101010102,1.0101010101010102,0.9494949494949496,0.898989898989899,0.8484848484848485,0.9595959595959596,0.9696969696969696,1.0101010101010102,0.9292929292929294,0.9393939393939394,1.0101010101010102,1.0101010101010102,1.0101010101010102,0.9292929292929294,0.9191919191919192
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0025800000000000003,TNBC,False,0.6,1.0,1.0,0.99,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.6
HALLMARK_INTERFERON_GAMMA_RESPONSE,5e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.29156,ER+,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.00801,TNBC,False,0.041237113402061855,0.8762886597938144,1.0206185567010309,1.0103092783505154,1.0,1.0309278350515465,0.9896907216494846,1.0103092783505154,0.8453608247422679,0.9278350515463918,1.0103092783505154,1.0309278350515465,0.8865979381443299,1.0,0.9896907216494846,0.9793814432989691,0.9690721649484536,1.0309278350515465,0.9896907216494846
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.02093,TNBC,False,0.03225806451612903,1.075268817204301,1.043010752688172,0.956989247311828,1.010752688172043,1.075268817204301,0.6881720430107526,1.064516129032258,0.7204301075268817,0.9677419354838708,0.9462365591397848,0.9032258064516128,0.8172043010752688,0.9462365591397848,1.010752688172043,1.010752688172043,1.021505376344086,0.989247311827957,0.08602150537634408
REACTOME_INTERFERON_GAMMA_SIGNALING,0.0013800000000000002,TNBC,False,0.9,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84
REACTOME_INTERFERON_SIGNALING,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.99998,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.23549,TNBC,False,0.0,32.5,0.0,1.0,0.5,0.0,0.5,7.000000000000001,0.0,1.0,1.0,6.0,1.0,1.0,0.0,6.0,0.5,7.5,0.5
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY,0.99995,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_II_INTERFERON_SIGNALING,0.01709,TNBC,False,0.26136363636363635,1.125,1.1022727272727273,0.6818181818181818,1.0454545454545454,1.125,0.9772727272727272,0.6590909090909091,0.9659090909090908,1.0227272727272727,1.1022727272727273,1.1363636363636365,0.7159090909090909,1.0,1.1363636363636365,1.125,1.125,0.9659090909090908,0.25
WP_TYPE_III_INTERFERON_SIGNALING,0.84098,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
BROWNE_INTERFERON_RESPONSIVE_GENES,0.00944,TNBC,False,0.6521739130434782,0.6521739130434782,1.0869565217391304,0.7608695652173912,1.0652173913043477,1.076086956521739,1.0543478260869563,0.7608695652173912,1.0,1.0,1.0869565217391304,1.0869565217391304,0.7391304347826088,0.9130434782608696,1.0869565217391304,1.0652173913043477,1.0434782608695652,1.0543478260869563,0.4130434782608696
ZHANG_INTERFERON_RESPONSE,0.0535,TNBC,False,0.15909090909090912,0.06818181818181818,1.6363636363636362,0.5454545454545454,1.318181818181818,2.272727272727273,0.7954545454545454,0.25,0.7954545454545454,0.5454545454545454,1.9318181818181817,2.0681818181818183,0.20454545454545453,0.9090909090909092,2.1818181818181817,1.9318181818181817,1.5909090909090908,1.5909090909090908,0.0
REACTOME_CYTOPROTECTION_BY_HMOX1,0.00374,TNBC,False,0.57,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,0.09497,TNBC,False,1.1538461538461535,0.923076923076923,1.2307692307692308,1.0,1.846153846153846,0.5384615384615385,0.8461538461538461,0.6923076923076923,0.6923076923076923,1.2307692307692308,2.3076923076923075,2.692307692307692,0.6923076923076923,1.1538461538461535,0.6153846153846154,0.5384615384615385,1.0,0.4615384615384615,1.0769230769230769
PAM50,0.8741399999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WU_ET_AL_BASAL_SC,0.00027,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WU_ET_AL_HER2E_SC,0.0868,TNBC,False,0.22222222222222224,0.0,0.5,0.6111111111111112,2.2222222222222223,4.0,4.333333333333334,0.4444444444444445,1.4444444444444446,0.8888888888888891,3.0555555555555562,5.5555555555555545,0.11111111111111112,5.4444444444444455,0.8333333333333334,1.3333333333333333,0.7777777777777779,4.777777777777779,3.5
WU_ET_AL_LUMA_SC,0.43231,TNBC,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
WU_EL_AL_LUMB_SC,0.35815,TNBC,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_ADIPOGENESIS,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ALLOGRAFT_REJECTION,0.0015,TNBC,False,0.71,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92
HALLMARK_ANDROGEN_RESPONSE,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ANGIOGENESIS,0.19452,TNBC,False,0.0,49.5,1.5,4.5,1.5,24.5,1.0,2.0,3.0,2.0,0.5,2.5,1.0,12.5,2.0,6.0,0.5,2.5,0.5
HALLMARK_APICAL_JUNCTION,0.00262,TNBC,False,0.64,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.97,0.99,1.0,1.0,0.96,1.0,0.98,1.0,1.0,0.98,0.99
HALLMARK_APICAL_SURFACE,0.49918999999999997,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APOPTOSIS,0.00014,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_BILE_ACID_METABOLISM,0.34654,TNBC,False,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.00016,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_COAGULATION,0.00018,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_COMPLEMENT,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_DNA_REPAIR,0.02217,TNBC,False,0.08450704225352113,1.0704225352112675,1.0704225352112675,1.0563380281690142,1.352112676056338,1.4084507042253522,0.8028169014084506,0.7323943661971831,0.5211267605633803,1.1267605633802815,1.0422535211267605,1.4084507042253522,1.1267605633802815,0.5492957746478874,1.3098591549295775,1.0985915492957747,1.2676056338028172,0.676056338028169,1.3380281690140845
HALLMARK_E2F_TARGETS,0.48328999999999994,TNBC,False,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0003,TNBC,False,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.89
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.10640999999999999,ER+,False,0.3478260869565217,0.5652173913043478,0.2608695652173913,0.6956521739130435,1.9565217391304348,3.043478260869565,1.9130434782608692,0.8260869565217391,2.130434782608696,0.7391304347826088,0.6521739130434782,0.043478260869565216,1.3478260869565215,2.1739130434782608,0.08695652173913042,0.0,1.9130434782608692,0.7826086956521738,0.08695652173913042
HALLMARK_ESTROGEN_RESPONSE_LATE,0.9311,ER+,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_FATTY_ACID_METABOLISM,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_G2M_CHECKPOINT,0.9041,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_GLYCOLYSIS,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HEDGEHOG_SIGNALING,0.9209200000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HEME_METABOLISM,0.00013000000000000002,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HYPOXIA,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_IL2_STAT5_SIGNALING,0.02331,TNBC,False,1.1851851851851851,1.148148148148148,0.8641975308641974,0.9259259259259258,1.0,0.19753086419753085,0.8395061728395061,0.9629629629629628,0.6790123456790124,1.0493827160493827,1.0246913580246912,1.2222222222222219,0.9135802469135802,1.0987654320987654,1.0864197530864197,1.0987654320987654,1.1728395061728394,1.1111111111111112,0.5679012345679012
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.04763,TNBC,False,0.042553191489361715,2.0638297872340425,1.170212765957447,0.5531914893617021,1.2765957446808511,0.6595744680851064,0.6382978723404256,0.9148936170212766,1.1914893617021278,1.0851063829787235,1.0851063829787235,1.3829787234042554,0.3829787234042553,1.1276595744680853,1.2765957446808511,1.9361702127659577,1.25531914893617,0.6170212765957447,0.4680851063829787
HALLMARK_INFLAMMATORY_RESPONSE,0.061689999999999995,TNBC,False,1.6097560975609757,1.0731707317073171,1.4146341463414631,0.9512195121951221,1.3170731707317074,0.4634146341463415,1.170731707317073,0.5609756097560976,1.146341463414634,0.902439024390244,1.4146341463414631,2.2195121951219514,0.5365853658536586,1.6097560975609757,1.2439024390243902,1.170731707317073,1.4146341463414631,1.146341463414634,0.024390243902439025
HALLMARK_KRAS_SIGNALING_DN,0.4828,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_KRAS_SIGNALING_UP,0.00116,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
HALLMARK_MITOTIC_SPINDLE,0.2704,TNBC,False,0.0,96.0,3.0,8.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0
HALLMARK_MTORC1_SIGNALING,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MYC_TARGETS_V1,0.06068,TNBC,False,0.0,0.6521739130434782,1.543478260869565,0.8478260869565217,1.0869565217391304,2.1739130434782608,1.391304347826087,1.5869565217391304,0.10869565217391304,0.6304347826086956,0.7391304347826088,2.1739130434782608,0.21739130434782608,0.3043478260869565,1.8043478260869563,0.7608695652173912,1.0,1.6739130434782608,0.8478260869565217
HALLMARK_MYC_TARGETS_V2,0.83796,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
