,beanie_pval,direction,robust,excluded_BRCA_4,excluded_BRCA_38,excluded_BRCA_14,excluded_BRCA_32,excluded_BRCA_22,excluded_BRCA_19,excluded_BRCA_9,excluded_BRCA_23,excluded_BRCA_6,excluded_BRCA_7
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.9998299999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.99518,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.35686,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.4351,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.0853,TNBC,False,0.1176470588235294,0.1176470588235294,0.1764705882352941,0.5882352941176471,1.0588235294117645,0.411764705882353,3.4705882352941173,4.9411764705882355,0.05882352941176471,0.3529411764705882
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.00014,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.00234,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.014980000000000002,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.34546,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.8451,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_INTERFERON_GAMMA_SIGNALING,0.028480000000000002,ER+,False,1.0309278350515465,0.9793814432989691,1.0309278350515465,1.0206185567010309,0.7113402061855669,1.0309278350515465,0.6597938144329897,0.5154639175257733,1.0206185567010309,1.0309278350515465
REACTOME_INTERFERON_SIGNALING,0.01214,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.99,1.0,1.0
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.9998299999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.0473,ER+,False,1.6122448979591837,1.163265306122449,1.3265306122448979,2.020408163265306,1.9387755102040816,2.0408163265306123,0.9387755102040816,0.2857142857142857,0.30612244897959184,1.306122448979592
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY,0.99982,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_II_INTERFERON_SIGNALING,0.39696,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_III_INTERFERON_SIGNALING,0.91522,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BROWNE_INTERFERON_RESPONSIVE_GENES,0.0018399999999999998,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZHANG_INTERFERON_RESPONSE,0.01198,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_CYTOPROTECTION_BY_HMOX1,0.19422999999999999,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,0.14144,TNBC,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
PAM50,0.37882,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WU_ET_AL_BASAL_SC,0.35074,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WU_ET_AL_HER2E_SC,0.08632999999999999,TNBC,False,0.0,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.2608695652173913,0.5217391304347826,0.8695652173913043,3.826086956521739,1.2608695652173911,0.0
WU_ET_AL_LUMA_SC,0.11055999999999999,ER+,False,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
WU_EL_AL_LUMB_SC,0.12953,ER+,False,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_ADIPOGENESIS,0.26765,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ALLOGRAFT_REJECTION,0.96514,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ANDROGEN_RESPONSE,0.11132,ER+,False,52.0,25.0,1.0,1.0,8.0,0.0,26.0,0.0,0.0,6.0
HALLMARK_ANGIOGENESIS,0.47576,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APICAL_JUNCTION,0.37388000000000005,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APICAL_SURFACE,0.30951999999999996,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APOPTOSIS,0.18306,ER+,False,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_BILE_ACID_METABOLISM,0.75184,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.39424000000000003,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_COAGULATION,0.66135,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_COMPLEMENT,0.16901,ER+,False,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_DNA_REPAIR,0.77705,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_E2F_TARGETS,0.012,TNBC,True,1.0,1.0,0.99,0.98,1.0,0.98,1.0,1.0,1.0,1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.19882,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0506,ER+,False,1.6785714285714284,2.142857142857143,2.142857142857143,0.5,2.4285714285714284,2.142857142857143,2.642857142857143,0.3928571428571429,0.2857142857142857,1.714285714285714
HALLMARK_ESTROGEN_RESPONSE_LATE,0.56796,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_FATTY_ACID_METABOLISM,0.36041999999999996,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_G2M_CHECKPOINT,0.2045,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_GLYCOLYSIS,0.00524,TNBC,True,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HEDGEHOG_SIGNALING,0.12435,ER+,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
HALLMARK_HEME_METABOLISM,0.49693999999999994,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HYPOXIA,0.011359999999999999,TNBC,True,0.95,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,0.94
HALLMARK_IL2_STAT5_SIGNALING,0.0,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.9938899999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INFLAMMATORY_RESPONSE,0.32679,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_KRAS_SIGNALING_DN,0.59019,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_KRAS_SIGNALING_UP,0.0016899999999999999,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MITOTIC_SPINDLE,0.83914,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MTORC1_SIGNALING,0.00275,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MYC_TARGETS_V1,0.17645999999999998,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
HALLMARK_MYC_TARGETS_V2,0.17414000000000002,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
HALLMARK_MYOGENESIS,0.47721,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_NOTCH_SIGNALING,0.09984,ER+,False,0.0,1.0,2.333333333333333,2.0,1.0,0.0,0.0,0.6666666666666667,0.0,1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.14962999999999999,TNBC,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0
HALLMARK_P53_PATHWAY,0.17829,ER+,False,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_PANCREAS_BETA_CELLS,0.7855,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PEROXISOME,0.13960999999999998,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.32403000000000004,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PROTEIN_SECRETION,0.58607,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.03299,TNBC,False,0.1847826086956522,0.7391304347826088,0.8043478260869564,1.0108695652173914,0.9130434782608696,1.0543478260869563,0.6086956521739131,1.0869565217391304,0.9456521739130436,0.9782608695652174
HALLMARK_SPERMATOGENESIS,0.88641,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_TGF_BETA_SIGNALING,0.49399,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5362600000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.3859,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UV_RESPONSE_DN,0.55378,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UV_RESPONSE_UP,0.01888,TNBC,False,0.94,0.99,0.95,1.0,1.0,0.98,0.68,1.0,1.0,0.95
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.16594,ER+,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_XENOBIOTIC_METABOLISM,0.75984,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP.V1_DN,0.21158000000000002,ER+,False,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP.V1_UP,0.37222,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_DN,0.03361,ER+,False,0.6666666666666667,1.1666666666666667,0.9642857142857144,1.0595238095238095,1.1547619047619049,1.0952380952380951,0.9047619047619048,0.8690476190476191,0.9166666666666669,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_UP,0.14072,ER+,False,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
ONCOGENIC_ALK_DN.V1_DN,0.01934,ER+,False,1.010204081632653,1.010204081632653,1.010204081632653,0.8673469387755102,0.9081632653061223,0.9897959183673468,0.9387755102040816,1.010204081632653,0.9489795918367347,1.020408163265306
ONCOGENIC_ALK_DN.V1_UP,0.43016000000000004,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_S_UP.V1_DN,0.85626,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_S_UP.V1_UP,0.9325399999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_UP.V1_DN,0.15506,ER+,False,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
ONCOGENIC_ATF2_UP.V1_UP,0.93091,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATM_DN.V1_DN,0.75255,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATM_DN.V1_UP,0.2361,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_DN,0.70477,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_UP,0.03568,ER+,False,1.25,0.986842105263158,0.7894736842105263,0.8552631578947368,1.25,1.1842105263157894,1.1842105263157894,0.736842105263158,0.8026315789473684,1.2894736842105263
ONCOGENIC_BCAT_BILD_ET_AL_DN,0.14847,ER+,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_BILD_ET_AL_UP,0.19527,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_DN,0.15769,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_UP,0.07092000000000001,ER+,False,1.4,1.2,1.6666666666666667,0.5,0.5333333333333333,0.7666666666666667,2.3666666666666667,0.8333333333333334,0.9000000000000001,2.2333333333333334
ONCOGENIC_BMI1_DN.V1_DN,0.001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN.V1_UP,0.3036,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_DN,0.00101,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.82889,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BRCA1_DN.V1_DN,0.41308,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BRCA1_DN.V1_UP,0.50918,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROCYTIC,0.71845,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROGLIAL,0.17852,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_CAHOY_NEURONAL,0.60814,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_OLIGODENDROCUTIC,0.65738,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_DN,0.65845,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_UP,0.96988,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CORDENONSI_YAP_CONSERVED_SIGNATURE,0.8341,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_DN.V1_DN,0.17251,TNBC,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0
ONCOGENIC_CRX_DN.V1_UP,0.21994,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_NRL_DN.V1_DN,0.06646,ER+,False,0.24,2.28,1.16,0.72,3.0,3.64,0.96,0.36,0.36,3.28
ONCOGENIC_CRX_NRL_DN.V1_UP,0.9559200000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_EARLY_UP.V1_DN,0.01284,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_EARLY_UP.V1_UP,0.59299,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_LATE_UP.V1_DN,0.02694,ER+,False,1.0526315789473684,1.0526315789473684,0.7368421052631579,0.9263157894736842,1.0105263157894735,1.0526315789473684,1.0526315789473684,0.6210526315789474,0.9157894736842106,0.9263157894736842
ONCOGENIC_CSR_LATE_UP.V1_UP,0.0839,TNBC,False,1.5384615384615383,0.3076923076923077,0.15384615384615385,0.4615384615384615,2.0769230769230766,0.23076923076923075,0.7692307692307693,5.846153846153847,0.6153846153846154,0.923076923076923
ONCOGENIC_CTIP_DN.V1_DN,0.9299200000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CTIP_DN.V1_UP,0.98096,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_KE_.V1_DN,0.08896,ER+,False,12.0,19.0,11.0,4.0,7.000000000000001,50.0,15.0,2.0,0.0,16.0
ONCOGENIC_CYCLIN_D1_KE_.V1_UP,0.6037399999999999,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_UP.V1_DN,0.90475,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_UP.V1_UP,0.7288600000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_DCA_UP.V1_DN,0.30603,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_DCA_UP.V1_UP,0.7624,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F1_UP.V1_DN,0.0051600000000000005,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F1_UP.V1_UP,0.7592899999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F3_UP.V1_DN,0.37448000000000004,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F3_UP.V1_UP,0.54993,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_EGFR_UP.V1_DN,0.0,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_EGFR_UP.V1_UP,0.0020800000000000003,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_EIF4E_DN,0.021840000000000002,ER+,True,0.98989898989899,1.0101010101010102,0.9090909090909092,1.0101010101010102,1.0101010101010102,1.0101010101010102,0.9797979797979798,1.0,0.9595959595959596,1.0101010101010102
ONCOGENIC_EIF4E_UP,0.35178000000000004,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ERBB2_UP.V1_DN,0.0,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ERBB2_UP.V1_UP,0.00324,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_EARLY.V1_DN,0.02358,ER+,False,0.8865979381443299,1.0309278350515465,1.0,0.9690721649484536,1.0309278350515465,1.0206185567010309,1.0309278350515465,0.7835051546391752,0.7628865979381444,1.0309278350515465
ONCOGENIC_ESC_J1_UP_EARLY.V1_UP,0.79404,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_LATE.V1_DN,0.8839100000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_LATE.V1_UP,0.35966,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
