,Tumor State,Gene Signature,BEANIE p-value,Direction,Robustness
6,Tumor State 1,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0177,Treatment-naive,False
10,Tumor State 1,REACTOME_INTERFERON_GAMMA_SIGNALING,0.0375,Treatment-naive,False
11,Tumor State 1,REACTOME_INTERFERON_SIGNALING,0.0228,Treatment-naive,False
17,Tumor State 1,BROWNE_INTERFERON_RESPONSIVE_GENES,0.0476,Treatment-naive,False
29,Tumor State 1,HALLMARK_ANGIOGENESIS,0.0073,Treatment-naive,False
30,Tumor State 1,HALLMARK_APICAL_JUNCTION,0.0314,Treatment-naive,False
32,Tumor State 1,HALLMARK_APOPTOSIS,0.0415,Treatment-naive,False
35,Tumor State 1,HALLMARK_COAGULATION,0.0104,Treatment-naive,False
39,Tumor State 1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0,Treatment-naive,True
46,Tumor State 1,HALLMARK_HEME_METABOLISM,0.003,Treatment-naive,False
47,Tumor State 1,HALLMARK_HYPOXIA,0.0344,Treatment-naive,False
50,Tumor State 1,HALLMARK_INFLAMMATORY_RESPONSE,0.0451,Treatment-naive,False
53,Tumor State 1,HALLMARK_MITOTIC_SPINDLE,0.0006,Treatment-naive,False
57,Tumor State 1,HALLMARK_MYOGENESIS,0.0315,Treatment-naive,False
67,Tumor State 1,HALLMARK_TGF_BETA_SIGNALING,0.0388,Treatment-naive,False
68,Tumor State 1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0094,Treatment-naive,False
70,Tumor State 1,HALLMARK_UV_RESPONSE_DN,0.0042,Treatment-naive,False
74,Tumor State 1,ONCOGENIC_AKT_UP.V1_DN,0.0278,Treatment-naive,False
82,Tumor State 1,ONCOGENIC_ATF2_UP.V1_DN,0.0211,Treatment-naive,False
93,Tumor State 1,ONCOGENIC_BMI1_DN.V1_UP,0.0013,Treatment-naive,False
95,Tumor State 1,ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.0027,Treatment-naive,True
102,Tumor State 1,ONCOGENIC_CAMP_UP.V1_DN,0.0461,Treatment-naive,False
108,Tumor State 1,ONCOGENIC_CRX_NRL_DN.V1_UP,0.0091,Treatment-naive,False
109,Tumor State 1,ONCOGENIC_CSR_EARLY_UP.V1_DN,0.0498,Treatment-naive,False
110,Tumor State 1,ONCOGENIC_CSR_EARLY_UP.V1_UP,0.0261,Treatment-naive,False
117,Tumor State 1,ONCOGENIC_CYCLIN_D1_UP.V1_DN,0.0351,Treatment-naive,False
121,Tumor State 1,ONCOGENIC_E2F1_UP.V1_DN,0.0008,Treatment-naive,False
127,Tumor State 1,ONCOGENIC_EIF4E_DN,0.0451,Treatment-naive,False
