,Tumor State,Gene Signature,BEANIE p-value,MWU-BH p-value,MWU-BH-LOOCV p-value,GLM p-value,GLM-LOOCV p-value,Pseudobulk p-value,Pseudobulk-LOOCV p-value
0,Tumor State 1,alphabeta_tcell_1,0.6746,0.0154,0.0146,0.0026,0.0029,0.4537,0.4343
1,Tumor State 1,alphabeta_tcell_2,0.64,0.0023,0.0033,0.0008,0.0011,0.0693,0.0803
2,Tumor State 1,NKT_1,0.161,0.0,0.0,0.0,0.0,0.0758,0.0826
3,Tumor State 1,bcell_1,0.0885,0.0,0.0,0.0,0.0,0.0739,0.084
4,Tumor State 1,nk_1,0.3905,0.0,0.0,0.0,0.0,0.3562,0.3676
5,Tumor State 1,myeloid_1,0.3568,0.0,0.0,0.0,0.0,0.0317,0.0354
6,Tumor State 1,myeloid_2,0.3307,0.0,0.0,0.0,0.0,0.0343,0.0394
7,Tumor State 1,mast_2,0.3205,0.0,0.0,0.0,0.0,0.0123,0.0144
0,Tumor State 2,alphabeta_tcell_1,0.7749,0.0294,0.0328,0.0,0.0,0.3174,0.309
1,Tumor State 2,alphabeta_tcell_2,0.6459,0.031,0.028,0.1882,0.1744,0.2114,0.2443
2,Tumor State 2,NKT_1,0.0864,0.0,0.0,0.0003,0.0003,0.2114,0.2369
3,Tumor State 2,bcell_1,0.3018,0.0,0.0,0.0,0.0,0.2114,0.2369
4,Tumor State 2,nk_1,0.5354,0.0,0.0,0.0,0.0,0.3174,0.3268
5,Tumor State 2,myeloid_1,0.2507,0.0,0.0,0.0,0.0,0.092,0.0979
6,Tumor State 2,myeloid_2,0.2039,0.0,0.0,0.0,0.0,0.092,0.0979
7,Tumor State 2,mast_2,0.8086,0.0038,0.0037,0.0162,0.0158,0.4529,0.436
0,Tumor State 4,alphabeta_tcell_1,0.3856,0.0158,0.021,0.0077,0.0157,0.3651,0.4298
1,Tumor State 4,alphabeta_tcell_2,0.0984,0.0548,0.0911,0.0642,0.0939,0.1498,0.1805
2,Tumor State 4,NKT_1,0.171,0.0003,0.0003,0.0003,0.001,0.1498,0.1969
3,Tumor State 4,bcell_1,0.2104,0.0007,0.0016,0.0004,0.001,0.1498,0.1864
4,Tumor State 4,nk_1,0.4406,0.3253,0.2794,0.1804,0.2299,0.2864,0.322
5,Tumor State 4,myeloid_1,0.172,0.0932,0.1352,0.0231,0.0472,0.1498,0.1996
6,Tumor State 4,myeloid_2,0.1288,0.1719,0.2063,0.0796,0.1213,0.2364,0.3176
7,Tumor State 4,mast_2,0.1817,0.2901,0.3711,0.5272,0.7475,0.1939,0.2285
0,Tumor State 5,alphabeta_tcell_1,0.469,0.037,0.0713,0.2673,0.4248,0.4507,0.4298
1,Tumor State 5,alphabeta_tcell_2,0.5205,0.2962,0.1648,0.6846,0.6774,0.4507,0.4298
2,Tumor State 5,NKT_1,0.1434,0.0048,0.0041,0.0317,0.0353,0.4507,0.4298
3,Tumor State 5,bcell_1,0.2262,0.0611,0.0626,0.0532,0.0594,0.4507,0.4298
4,Tumor State 5,nk_1,0.8505,0.4556,0.3888,0.9065,0.7012,0.5,0.4337
5,Tumor State 5,myeloid_1,0.1961,0.0172,0.0405,0.0217,0.0469,0.3016,0.3687
6,Tumor State 5,myeloid_2,0.6956,0.0295,0.0486,0.8159,0.6758,0.4507,0.4298
7,Tumor State 5,mast_2,0.9968,0.4403,0.452,0.8113,0.8833,0.3016,0.3657
