,,0
Tumor State 1,BEANIE,60/263
Tumor State 1,MWU-BH,236/263
Tumor State 1,MWU-BH-LOOCV,236/263
Tumor State 1,GLM,236/263
Tumor State 1,GLM-LOOCV,235/263
Tumor State 1,Pseudobulk,104/263
Tumor State 1,Pseudobulk-LOOCV,99/263
Tumor State 2,BEANIE,46/263
Tumor State 2,MWU-BH,230/263
Tumor State 2,MWU-BH-LOOCV,230/263
Tumor State 2,GLM,229/263
Tumor State 2,GLM-LOOCV,228/263
Tumor State 2,Pseudobulk,0/263
Tumor State 2,Pseudobulk-LOOCV,0/263
Tumor State 4,BEANIE,22/263
Tumor State 4,MWU-BH,214/263
Tumor State 4,MWU-BH-LOOCV,218/263
Tumor State 4,GLM,211/263
Tumor State 4,GLM-LOOCV,208/263
Tumor State 4,Pseudobulk,0/263
Tumor State 4,Pseudobulk-LOOCV,0/263
Tumor State 5,BEANIE,28/263
Tumor State 5,MWU-BH,195/263
Tumor State 5,MWU-BH-LOOCV,182/263
Tumor State 5,GLM,184/263
Tumor State 5,GLM-LOOCV,170/263
Tumor State 5,Pseudobulk,0/263
Tumor State 5,Pseudobulk-LOOCV,0/263
