,beanie_pval,direction,robust,excluded_LUAD_3,excluded_LUAD_0,excluded_LUAD_4,excluded_LUAD_10,excluded_LUAD_5,excluded_LUAD_1,excluded_LUAD_13,excluded_LUAD_6,excluded_LUAD_2
HALLMARK_ADIPOGENESIS,0.41013999999999995,early_stage,False,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
HALLMARK_ALLOGRAFT_REJECTION,0.01401,early_stage,False,0.0,1.075268817204301,0.1935483870967742,0.1827956989247312,1.010752688172043,1.053763440860215,0.9677419354838708,0.9784946236559141,1.053763440860215
HALLMARK_ANDROGEN_RESPONSE,0.03302,early_stage,False,0.0,1.2727272727272727,0.5454545454545454,0.20779220779220775,0.987012987012987,0.9220779220779219,0.7922077922077921,0.7792207792207791,1.2467532467532467
HALLMARK_ANGIOGENESIS,0.031239999999999997,early_stage,False,1.1686746987951808,0.0,0.024096385542168683,0.03614457831325301,0.7469879518072291,0.4698795180722892,0.9518072289156628,1.144578313253012,1.1927710843373494
HALLMARK_APICAL_JUNCTION,0.62992,early_stage,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APICAL_SURFACE,0.41903999999999997,late_stage,False,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APOPTOSIS,0.01554,early_stage,False,0.0,1.0416666666666667,0.4270833333333333,0.2916666666666667,0.9479166666666669,0.5729166666666667,0.96875,0.9583333333333334,1.0416666666666667
HALLMARK_BILE_ACID_METABOLISM,0.9735799999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.4248,early_stage,False,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
HALLMARK_COAGULATION,0.57838,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_COMPLEMENT,0.04558,early_stage,False,0.034883720930232565,1.0581395348837208,0.20930232558139533,0.0,0.372093023255814,0.18604651162790695,1.0930232558139534,1.0348837209302326,1.1511627906976745
